source_id,phot_g_mean_mag,x  (pc),y (pc),z (pc),dx/dt (pc/1000 years),dy/dt (pc/1000 years),dz/dy (pc/1000 years)
3504418435633020,8.934321748,117.3405951,122.5979901,13.25324236,-0.099343102,-0.089916175,-0.020938409
3509709835340540,11.64539052,777.8129118,816.8520195,88.78975928,-0.189463618,-0.100121975,-0.009598399
3514039162372860,9.732073167,352.715695,369.2839772,40.74141765,-0.029956365,-0.019658364,-0.013677252
3523934767027450,11.71221049,127.4843052,136.6164361,14.03973862,0.094435418,0.131707833,-0.005366585
3524690681270650,11.20250901,417.2749363,448.0660814,46.73900409,0.065020125,0.090535727,-0.022158206
3524862479962360,11.04986579,497.8902667,534.0277398,55.86604318,-0.028639987,0.092748736,0.040675742
3552041033136510,11.45708742,282.6846915,304.712634,34.06131009,-0.111817692,-0.039351441,0.004277576
3556954475728510,11.47641263,341.0454312,372.4153141,40.67425381,-0.080408811,-0.092713113,-0.036084015
3597533326733950,10.84229085,756.9702477,804.6513107,92.05154123,-0.25627943,0.049777277,-0.039323151
3610108990976250,12.18770397,388.9392166,411.6952259,47.38198174,-0.07858169,-0.005976881,-0.019698094
3610521307835770,12.17511358,355.9933452,377.1158081,43.66905915,0.073105683,0.153113197,-0.038669285
3613338806381820,8.038351027,196.3285189,207.2214777,24.08857659,0.030926543,0.028446238,-0.029275043
3622787734445820,7.682897862,304.5852201,324.4805402,39.09143114,-0.070370753,-0.094019218,0.000237163
3652165310747640,11.59324224,143.7880475,154.9158754,19.14410828,0.114720607,0.126863191,0.008351962
3655154607985280,10.97560125,267.3954573,286.8150058,35.71279326,0.00089865,-0.004448146,0.018353779
3657319271501820,10.20809507,144.72156,155.5762326,19.59492115,-0.123563403,-0.14521686,-0.043412056
3671372404782840,11.45881348,302.0483056,311.9814166,33.98669837,-0.00021285,0.0124761,-0.001675404
3699753548420090,12.02523404,345.2727846,357.7110455,40.4324331,-0.075653528,-0.095852989,-0.047705925
3703189522229760,12.08646813,241.3247139,251.990823,28.34433715,-0.059383422,0.052239996,-0.068283515
3727241338945920,11.16900801,130.4713865,134.9625677,16.37606128,0.032197925,0.077659734,0.034282499
3727722375283320,10.45965153,199.4177084,206.7575625,25.01560141,-0.113343124,-0.099680495,-0.024304819
3750159284603260,11.14565196,153.1196807,154.6339745,18.18123119,-0.058635521,-0.064821875,-0.030853361
3763765740992250,10.73670737,143.8413555,145.500214,17.88636473,0.036414034,0.052066793,-0.015227883
3763834460479740,11.1081773,125.0132402,126.4220398,15.5573851,0.102662782,0.15804909,0.028116839
3763971899432960,9.228352016,79.7968065,80.57151968,9.93391199,0.119890565,0.144173403,-0.011175684
3765930404512250,10.66578858,69.05478186,70.65047311,8.367517379,-0.119856159,-0.02718987,-0.074669728
3767304794045820,10.33895519,483.3116809,496.5355419,59.38226634,-0.078250983,-0.039592318,-0.021598821
